highlight_id	Parent Motivation	Model Strategy
44b266ae-9866-4c51-863b-5c066e1d1d7c	Response Risk Awareness	Prompted Suggestions
36bb03c1-9695-44b1-ad38-e26642ad0e6c	Response Risk Awareness	Unprompted Suggestions
1db853df-ffd3-4230-a156-70610bc7d7b0	Response Organization	Prompted Suggestions
978bd8da-20d4-48e4-a877-450f92e02bbb	Response Organization	Prompted Suggestions
978bd8da-20d4-48e4-a877-450f92e02bbb	Response Organization	Prompted Suggestions
10467d6d-f0f7-4f87-a9ff-8ec7581e2c68	Response Organization	Prompted Suggestions
10467d6d-f0f7-4f87-a9ff-8ec7581e2c68	Response Organization	Clarify Child's Intent
10467d6d-f0f7-4f87-a9ff-8ec7581e2c68	Response Complexity	Clarify Child's Intent
d0a8bdc7-ddf4-485f-a7eb-0f1ece27fac7	Child Intentions	
0cd5f84e-6988-41a4-8116-35afccb17dc6	Response Organization	Prompted Suggestions
bc2a7d1d-63f5-4837-8a1c-c344277a1d78	Response Organization	Prompted Suggestions
04245a9f-3ad4-4e5a-9e82-2223bc0bb74b	Response Organization	Prompted Suggestions
e10773c0-e79f-41df-83d9-e4f5b1aa11f7	Response Organization	Prompted Suggestions
45eea772-8e87-47a7-a3cf-d2d7e3d06fb1	Response Organization	Prompted Suggestions
5c2df3f9-9514-40f4-b665-2bdd1da53e05	Response Organization	Prompted Suggestions
c16a688c-3079-495e-8b4b-93ce4d2e8fd6	Response Organization	Prompted Suggestions
8d0881ee-a5f0-4708-9621-4bb817d74c5e	Child Intentions	
8ef54ea3-86ee-43bd-8011-cd31b535f7db	Response Usefulness	Prompted Suggestions
fd993163-990e-46f5-850f-1d80f59e618c	Response Could Evoke Strong Emotion	Emphasize Emotional Support
c4843506-0b1a-4b33-913e-855522215ce9	Response Usefulness	Emphasize Risk Awareness
5f68a423-a35f-410c-b506-3d684877586f	Response Usefulness	Prompted Suggestions
3e9dd5c0-e72e-4021-87b0-58349d4b258c	Response Usefulness	Prompted Suggestions
9a0dd373-eda6-4688-9bca-d1d6f8f8875c	Response Usefulness	Prompted Suggestions
05933775-fee7-4ed7-965b-82ee04897798	Child Intentions	
b516d817-d3b7-41fd-84c4-69083616c3d0	Child Intentions	
b3cdff0f-eec1-4660-9d65-a07e1a9d00bf	Child Intentions	
430c3615-b24d-407e-9b1a-56e5685b517a	Response Identification of the Root Cause	Explain Problems in Prompt
3ca8438c-ea70-4381-9c01-f540327ebef5	Response Identification of the Root Cause	Explain Problems in Prompt
fc203f77-d006-4d6e-91ba-87ecd613d53f	Child Intentions	
bad3aaf6-d51b-4fd1-998d-3e4e35e05ae6	Response Usefulness	Prompted Suggestions
8e133024-9845-4cbf-8407-c9c7f031be22	Response Usefulness	Prompted Suggestions
36f95eb6-09a4-47ea-8f80-5b3c4503d7d2	Response Usefulness	Unprompted Suggestions
be60f9bd-0d97-4c60-bb36-97573ebab85c	Response Organization	Unprompted Suggestions
d97d7319-d19f-474a-9415-4b86d72cac3b	Response Usefulness	Prompted Suggestions
497be385-19f3-4793-82a9-11bb9b616e66	Response Usefulness	Refuse Response and Explain
497be385-19f3-4793-82a9-11bb9b616e66	Response Identification of the Root Cause	Refuse Response and Explain
497be385-19f3-4793-82a9-11bb9b616e66	Response Risk Awareness	Refuse Response and Explain
497be385-19f3-4793-82a9-11bb9b616e66	Response Usefulness	Refuse Response and Explain
497be385-19f3-4793-82a9-11bb9b616e66	Response Could Evoke Strong Emotion	Refuse Response and Explain
140ea719-7fd9-4db4-ada8-068d5dfaf2be	Response Usefulness	Unprompted Suggestions
140ea719-7fd9-4db4-ada8-068d5dfaf2be	Response Identification of the Root Cause	Unprompted Suggestions
140ea719-7fd9-4db4-ada8-068d5dfaf2be	Response Could Evoke Strong Emotion	Unprompted Suggestions
969365c8-5411-4d1e-b98d-1c6e3fa2fc16	Response Usefulness	Unprompted Suggestions
969365c8-5411-4d1e-b98d-1c6e3fa2fc16	Response Identification of the Root Cause	Unprompted Suggestions
969365c8-5411-4d1e-b98d-1c6e3fa2fc16	Response Risk Awareness	Unprompted Suggestions
969365c8-5411-4d1e-b98d-1c6e3fa2fc16	Response Usefulness	Unprompted Suggestions
b516b693-3aa5-4c7a-bff0-9b5080549ebd	Response Identification of the Root Cause	Unprompted Suggestions
b516b693-3aa5-4c7a-bff0-9b5080549ebd	Response Risk Awareness	Unprompted Suggestions
d75beff8-5919-419e-80c4-7f3c2757bea5	Response Usefulness	Unprompted Suggestions
d75beff8-5919-419e-80c4-7f3c2757bea5	Response Identification of the Root Cause	Unprompted Suggestions
d75beff8-5919-419e-80c4-7f3c2757bea5	Response Usefulness	Unprompted Suggestions
dc27089f-fecc-44c2-b59e-36a96c20d14c	Response Identification of the Root Cause	Unprompted Suggestions
dc27089f-fecc-44c2-b59e-36a96c20d14c	Response Risk Awareness	Unprompted Suggestions
dc27089f-fecc-44c2-b59e-36a96c20d14c	Response Usefulness	Unprompted Suggestions
dc27089f-fecc-44c2-b59e-36a96c20d14c	Response Could Evoke Strong Emotion	Unprompted Suggestions
39f64685-75fa-4d3b-b40d-4c5d9541f7ba	Response Usefulness	Unprompted Suggestions
39f64685-75fa-4d3b-b40d-4c5d9541f7ba	Response Risk Awareness	Unprompted Suggestions
199cc77a-cbf4-4150-b0d8-4cc1fb3b1d88	Response Usefulness	Unprompted Suggestions
feab9f30-a02c-4ebb-a3f5-0b587232ae99	Child Intentions	
7e61fd4a-18ce-46b0-9a60-9dbbb89834d8	Response Usefulness	Emphasize Emotional Support
7e61fd4a-18ce-46b0-9a60-9dbbb89834d8	Response Usefulness	Emphasize Emotional Support
7e61fd4a-18ce-46b0-9a60-9dbbb89834d8	Response Risk Awareness	Emphasize Emotional Support
e3a49dfd-5d09-46de-884e-ba98994f6515	Response Usefulness	Prompted Suggestions
e3a49dfd-5d09-46de-884e-ba98994f6515	Response Could Evoke Strong Emotion	Prompted Suggestions
85981316-b360-4b98-a3f3-873bb9533a36	Response Usefulness	Prompted Suggestions
85981316-b360-4b98-a3f3-873bb9533a36	Response Usefulness	Prompted Suggestions
85981316-b360-4b98-a3f3-873bb9533a36	Response Usefulness	Prompted Suggestions
dc70b305-da24-438d-a8e7-80bc31e2a586	Response Identification of the Root Cause	Prompted Suggestions
dc70b305-da24-438d-a8e7-80bc31e2a586	Response Identification of the Root Cause	Prompted Suggestions
852de557-6389-442b-b140-05c0785a4527	Response Identification of the Root Cause	Clarify Child's Intent
852de557-6389-442b-b140-05c0785a4527	Response Identification of the Root Cause	Clarify Child's Intent
852de557-6389-442b-b140-05c0785a4527	Response Identification of the Root Cause	Clarify Child's Intent
09cf87bd-f69a-45b5-a450-d5af10cf68ea	Response Complexity	Prompted Suggestions
4907b739-fa60-4b2a-99c9-14487df70678	Response Could Evoke Strong Emotion	Emphasize Emotional Support
4907b739-fa60-4b2a-99c9-14487df70678	Response Could Evoke Strong Emotion	Emphasize Emotional Support
9fc7463e-b3b0-4e3c-a8aa-4bad2448d2d8	Response Usefulness	Clarify Child's Intent
9fc7463e-b3b0-4e3c-a8aa-4bad2448d2d8	Response Risk Awareness	Clarify Child's Intent
39be0da3-55f0-41ea-97ad-3cf5392c7d19	Response Usefulness	Emphasize Emotional Support
39be0da3-55f0-41ea-97ad-3cf5392c7d19	Response Usefulness	Emphasize Emotional Support
39be0da3-55f0-41ea-97ad-3cf5392c7d19	Response Usefulness	Emphasize Emotional Support
39be0da3-55f0-41ea-97ad-3cf5392c7d19	Response Could Evoke Strong Emotion	Emphasize Emotional Support
b3dbdf12-1dc8-4d58-a825-1a2e2dac63f8	Response Usefulness	Emphasize Emotional Support
b3dbdf12-1dc8-4d58-a825-1a2e2dac63f8	Response Usefulness	Emphasize Emotional Support
182c55a3-56ea-48b3-8329-4d11e8eaa906	Parents Trust of Model Capabilities	
7c5b14ef-f405-4efe-9234-0ef75436c53e	Response Could Evoke Strong Emotion	Emphasize Emotional Support
86815bbf-7eea-47f3-8adb-7e830c910bf6	Response Could Evoke Strong Emotion	Explain Problems in Prompt
86815bbf-7eea-47f3-8adb-7e830c910bf6	Response Usefulness	Explain Problems in Prompt
86815bbf-7eea-47f3-8adb-7e830c910bf6	Response Risk Awareness	Explain Problems in Prompt
b7c66ac6-9959-4c74-93cf-5dfa87ec4563	Response Could Evoke Strong Emotion	Clarify Child's Intent
b7c66ac6-9959-4c74-93cf-5dfa87ec4563	Response Usefulness	Clarify Child's Intent
b7c66ac6-9959-4c74-93cf-5dfa87ec4563	Response Risk Awareness	Clarify Child's Intent
cb7f657e-e39d-450d-83ac-3d428862f0ba	Response Risk Awareness	Emphasize Emotional Support
4be5d2c5-48c4-4be1-bc7d-c00ed435b06f	Response Risk Awareness	Emphasize Emotional Support
1c7efd15-9751-47a1-8a98-fbb82f71d2a1	Response Organization	Clarify Child's Intent
dfae9406-aefd-4a98-88d1-3553b08239e2	Response Risk Awareness	Unprompted Suggestions
dfae9406-aefd-4a98-88d1-3553b08239e2	Response Organization	Unprompted Suggestions
dfae9406-aefd-4a98-88d1-3553b08239e2	Response Usefulness	Unprompted Suggestions
36312dfa-0807-4b23-88eb-d58322efffb8	Response Could Evoke Strong Emotion	Emphasize Emotional Support
169f0351-9a0c-4c4b-acf9-ee82c9df2bc2	Response Usefulness	Prompted Suggestions
f23e38d4-c667-4852-9ce6-4975eb90492c	Child Intentions	
8c716673-23f4-4307-85a3-adcba7dd8806	Child Intentions	
8c716673-23f4-4307-85a3-adcba7dd8806	Child Intentions	
8c716673-23f4-4307-85a3-adcba7dd8806	Child Intentions	
bfd95dba-8c63-4f8e-a1f8-abaa6d794966	Response Usefulness	Adapt to Age Group
4c99097d-8306-47c4-917f-0593d5d514b8	Response Identification of the Root Cause	Adapt to Age Group
e42b2b76-9b45-42bc-94fc-00cac1248777	Child Intentions	Prompted Suggestions
e42b2b76-9b45-42bc-94fc-00cac1248777	Parents Trust of Model Capabilities	Prompted Suggestions
e4eff6c5-5f25-4086-af34-9dba9d84d90c	Response Organization	Prompted Suggestions
b0c34725-b3ff-4aef-80b0-dca4b95a3c02	Response Usefulness	Emphasize Risk Awareness
3cb1e02f-4240-4d6c-b486-f37b5851ccd3	Response Risk Awareness	Emphasize Risk Awareness
41caecb8-ee84-473f-bbdc-5d2491348087	Response Usefulness	Prompted Suggestions
235a8a54-763f-48b8-bf0c-4f609b1c97e5	Response Organization	Prompted Suggestions
41a0327c-31a8-4cd6-a777-b67266aec39a	Response Usefulness	Prompted Suggestions
253d6821-9a2d-4c0a-ab9b-1d6ff360afd0	Response Risk Awareness	Prompted Suggestions
cc01a2b2-6e49-4a72-9190-7c958abf9bbc	Response Risk Awareness	Emphasize Risk Awareness
bd9132f1-9cbc-4375-96ed-b2b6be0c79fa	Response Risk Awareness	Clarify Child's Intent
80372c35-a710-4e62-8dc1-dcf16897c82b	Response Usefulness	Emphasize Emotional Support
80372c35-a710-4e62-8dc1-dcf16897c82b	Response Could Evoke Strong Emotion	Emphasize Emotional Support
80372c35-a710-4e62-8dc1-dcf16897c82b	Response Usefulness	Emphasize Emotional Support
ea9aae48-dd28-4269-b17b-5c0a6b156f22	Response Usefulness	Clarify Child's Intent
ea9aae48-dd28-4269-b17b-5c0a6b156f22	Response Could Evoke Strong Emotion	Clarify Child's Intent
ea9aae48-dd28-4269-b17b-5c0a6b156f22	Response Usefulness	Clarify Child's Intent
e760bd29-50b4-42d2-9db3-3db1f4dd5f43	Response Usefulness	Emphasize Emotional Support
e760bd29-50b4-42d2-9db3-3db1f4dd5f43	Response Could Evoke Strong Emotion	Emphasize Emotional Support
e760bd29-50b4-42d2-9db3-3db1f4dd5f43	Response Usefulness	Emphasize Emotional Support
bc527690-6edd-4a40-8ed6-0a01bc9f9211	Response Usefulness	Emphasize Emotional Support
18d077d7-e38a-4a04-adb9-781a63be6d95	Response Usefulness	Prompted Suggestions
c8fde879-de66-4021-94a5-389f48561aa7	Response Usefulness	Prompted Suggestions
f9317574-c231-4460-96be-e7d308697deb	Response Usefulness	Prompted Suggestions
492a047a-e594-4a92-bf10-b68105893e35	Response Usefulness	Prompted Suggestions
41237324-ff92-4180-89c8-0c1df53d01d3	Response Usefulness	Prompted Suggestions
2b5d6c86-716b-434a-b0d7-9fdaca801bba	Response Usefulness	Prompted Suggestions
b9a979bd-5bd3-4f7d-af91-e34f3a637506	Response Complexity	Adapt to Age Group
2b8ec1be-7b72-4b10-b83c-301ac6c881e3	Response Could Evoke Strong Emotion	Prompted Suggestions
483a4aac-68fe-4515-9e15-2857f73ca562	Response Could Evoke Strong Emotion	Emphasize Emotional Support
35ec056c-f127-46be-ba9f-cf18a66de179	Response Usefulness	Prompted Suggestions
5b5a7577-f6fe-4b30-be29-702a6e19ac5e	Response Usefulness	Prompted Suggestions
bfe2ae59-0483-4221-ae94-6828738ecbd5	Child Intentions	
2018e935-104c-43cc-b994-8b85d9b56df3	Response Usefulness	Prompted Suggestions
c409b772-7961-4465-899a-aa2d395c1f3b	Child Intentions	
6471d8c1-01ad-4803-a243-635da0130196	Response Usefulness	Clarify Child's Intent
cb2de3de-b866-44fd-b56f-11d3411f8a66	Response Usefulness	Prompted Suggestions
c860bf7c-c8ed-4521-8744-d0a6689aa1ab	Response Usefulness	Prompted Suggestions
a6d990f5-dbc2-4973-b649-d275c03f373e	Response Usefulness	Prompted Suggestions
ebc42260-7a18-4462-913b-23bf3183fe33	Response Usefulness	Emphasize Risk Awareness
0c05fd7f-b9a5-4060-b7fb-3cb423c26220	Response Usefulness	Prompted Suggestions
56b2bdd6-bd43-4856-9ee0-7b3b81dac324	Response Usefulness	Emphasize Risk Awareness
99dd73b5-3f00-4685-a688-3f856219389a	Response Complexity	Prompted Suggestions
c28eedc0-7580-4969-8137-b237a2db83d2	Response Could Evoke Strong Emotion	Emphasize Emotional Support
92a0641e-c4af-4510-937a-79fd14aea7e0	Response Could Evoke Strong Emotion	Emphasize Emotional Support
1cd32808-15d2-44f7-9e18-09a48606e1e0	Response Could Evoke Strong Emotion	Prompted Suggestions
b20db67b-ac91-4254-999d-5cd50ce1b753	Response Usefulness	Prompted Suggestions
7a045af7-a044-46e0-ad02-46fd936ee67f	Response Complexity	Prompted Suggestions
03792646-f2c9-4208-bf49-18c5087ff35f	Response Identification of the Root Cause	Unprompted Suggestions
a55790fb-f0e9-44b1-a89c-9aa1bc7c8828	Response Usefulness	Emphasize Risk Awareness
9062207e-06ba-4a27-a159-7a4cecd425ea	Response Usefulness	Redirect with Alternatives
aa96dd5e-9aa2-4f29-b113-9c126dde1cd9	Response Could Evoke Strong Emotion	Emphasize Emotional Support
4b033d01-497f-4fba-aa04-5bf3d981e845	Response Usefulness	Emphasize Risk Awareness
1d4acdc6-2859-42ab-b998-096771bc6887	Response Usefulness	Prompted Suggestions
47c5cd1e-5c52-4911-abe8-d3df1c6e9eaa	Response Could Evoke Strong Emotion	Prompted Suggestions
92c009c7-a198-4fce-95e0-e33a24549a70	Response Could Evoke Strong Emotion	Prompted Suggestions
389f839b-6ebb-4a62-bb26-aa28efeaecd5	Response Risk Awareness	Prompted Suggestions
4360498b-d910-4e06-834b-9d5a2390df52	Response Risk Awareness	Defer to Resources
c28b1710-2832-46f8-89f9-4faf50a8019c	Response Risk Awareness	Defer to Resources
7de77362-c215-441f-ac8d-a55b026e3542	Response Usefulness	Prompted Suggestions
b1d0455c-c925-43ce-a594-9fd18bae5baa	Response Usefulness	Adapt to Age Group
e98496f4-b5cc-421c-8668-58de10155ccf	Child Intentions	
d5bbc97d-0278-49e3-a6c0-432d78523adb	Child Intentions	
605f3143-f199-4ca7-b3c0-8f3d9d17bdec	Response Usefulness	Adapt to Age Group
d734eba2-cc84-4432-853c-e7e107d28019	Response Usefulness	Adapt to Age Group
0fd7bc5c-e6df-487a-9987-85640f655a32	Response Usefulness	Adapt to Age Group
471593eb-6b53-49c1-b92a-379b98e78beb	Response Usefulness	Prompted Suggestions
3dd5697a-4c11-4979-be4c-6a524693d3ea	Response Usefulness	Prompted Suggestions
72145c6e-045b-4316-acbc-4db31bc20d9d	Response Usefulness	Prompted Suggestions
f8fdbc97-5727-4838-b784-9f768dc24e5f	Response Usefulness	Prompted Suggestions
2aaeec6f-7b74-489a-93a8-9d049070b786	Response Usefulness	Prompted Suggestions
33308404-2aab-4e2b-a148-136c907103c1	Response Risk Awareness	Prompted Suggestions
74f18548-c8c0-4ed2-917a-9ab1df4b9b6a	Response Risk Awareness	Prompted Suggestions
0c367808-cdd8-4305-b356-37f2cc13c394	Response Risk Awareness	Prompted Suggestions
c0835fd4-4f7d-4782-b93b-6b160ee375c7	Response Risk Awareness	Prompted Suggestions
e84abda3-9c35-4a00-999f-313df39b7ca0	Response Usefulness	Prompted Suggestions
7877a0c6-9c38-4885-b64c-d0bd3ec78186	Response Risk Awareness	Unprompted Suggestions
7b0b7681-9ea2-46de-a602-a0941aa5e104	Child Intentions	
7b0b7681-9ea2-46de-a602-a0941aa5e104	Parents Trust of Model Capabilities	
581adb26-a840-42c3-81e0-e0eaf0aa60fc	Response Contradicts Itself	Prompted Suggestions
581adb26-a840-42c3-81e0-e0eaf0aa60fc	Response Usefulness	Prompted Suggestions
3d64a62e-4d45-4e04-91b5-766e236492d9	Response Usefulness	Prompted Suggestions
3d64a62e-4d45-4e04-91b5-766e236492d9	Response Usefulness	Prompted Suggestions
7084b004-e4c5-4d12-a59b-133cd0cc5c2f	Response Usefulness	Prompted Suggestions
e304671e-b755-4ea4-a231-5ea31fc7b4c7	Response Usefulness	Emphasize Emotional Support
fb831073-75e1-4388-a06a-04a985c30b31	Response Usefulness	Emphasize Emotional Support
ab72d36d-61d7-4fa0-b79f-0748a36a990a	Response Usefulness	Unprompted Suggestions
17dbe921-5361-4e11-9c3e-22fc4014b007	Response Could Evoke Strong Emotion	Emphasize Emotional Support
75a00496-57b9-43e5-b1a1-82c0b4713bfc	Response Usefulness	Prompted Suggestions
75a00496-57b9-43e5-b1a1-82c0b4713bfc	Response Usefulness	Prompted Suggestions
75a00496-57b9-43e5-b1a1-82c0b4713bfc	Response Usefulness	Prompted Suggestions
75a00496-57b9-43e5-b1a1-82c0b4713bfc	Response Usefulness	Prompted Suggestions
75a00496-57b9-43e5-b1a1-82c0b4713bfc	Response Usefulness	Prompted Suggestions
726b31b1-2247-44b6-9307-47d343c4eb6c	Response Usefulness	Prompted Suggestions
0ff2c43b-efde-4a04-a512-09fac7492bc4	Response Usefulness	Emphasize Emotional Support
e19ba0b9-02df-4587-a512-d4aa92c9c482	Response Usefulness	Emphasize Emotional Support
b5f6e4a0-c01d-4f8b-bdae-7cef6df14b86	Response Usefulness	Emphasize Emotional Support
fa964133-2c71-49c3-afde-82bc74401278	Response Usefulness	Emphasize Emotional Support
7f72695e-5c67-4ee4-b57b-19a6e83a397a	Response Usefulness	Emphasize Emotional Support
685b07e5-a858-4c5a-9a20-bf18ef0d8ce7	Response Usefulness	Emphasize Emotional Support
46f00e1d-cd96-4f49-81ee-f6d44a04981c	Response Usefulness	Emphasize Emotional Support
a086ddb3-a9b5-4de9-90dd-44af035fe7c1	Response Risk Awareness	Prompted Suggestions
0357a544-569a-4d7e-9fac-6d0d953fb272	Response Risk Awareness	Prompted Suggestions
771828d6-f5e0-4724-96cb-469e1fe8faeb	Response Risk Awareness	Prompted Suggestions
c5c8e4e5-10f5-47bd-a3f2-1176e242f47b	Response Risk Awareness	Clarify Child's Intent
edc336c2-6d04-454c-b69b-5af1e080fe27	Response Usefulness	Emphasize Risk Awareness
bca87a63-4024-4c30-98a3-887f46e4ae86	Response Usefulness	Encourage Introspection
70001b8a-f401-4b84-9f4a-61a59d9befe9	Response Usefulness	Prompted Suggestions
5f1059b2-c369-42d8-80ba-b3696b498e43	Response Risk Awareness	Emphasize Emotional Support
025a212b-02b0-46e3-a019-73ab08f35563	Response Risk Awareness	Emphasize Emotional Support
eae98d93-739f-40b7-9cb0-523ade84eb13	Response Risk Awareness	Explain Problems in Prompt
eae98d93-739f-40b7-9cb0-523ade84eb13	Response Risk Awareness	Explain Problems in Prompt
2c87c554-20db-4a4c-a9a2-67f010904185	Response Risk Awareness	Clarify Child's Intent
2c87c554-20db-4a4c-a9a2-67f010904185	Response Risk Awareness	Clarify Child's Intent
2c87c554-20db-4a4c-a9a2-67f010904185	Response Risk Awareness	Clarify Child's Intent
8e0f8373-db06-4281-9b6c-0f4154b79f97	Response Risk Awareness	Prompted Suggestions
1a599650-60cc-45bf-9ee2-f1942309ca24	Response Usefulness	Clarify Child's Intent
6077d0b9-07ed-469c-bcab-a9992810c222	Response Usefulness	Prompted Suggestions
7f8e23ba-ee32-4479-a002-8ea278b43699	Response Risk Awareness	Emphasize Risk Awareness
563dcba1-c87a-41e4-85e8-3d31f00e27d9	Response Risk Awareness	Emphasize Risk Awareness
cba5433e-8f9c-43b8-968e-d1894cd2ec4a	Response Risk Awareness	Emphasize Risk Awareness
fcee262d-f9a4-4988-9dd0-93c03cf47b6f	Response Usefulness	Prompted Suggestions
e44717ab-5006-451e-8996-a95596d60841	Response Usefulness	Emphasize Emotional Support
00d96a3c-78d8-4dd9-af37-31b03588570b	Response Risk Awareness	Emphasize Risk Awareness
8165b818-1f05-4052-8702-a9172148da6f	Response Usefulness	Prompted Suggestions
7fa738e9-1767-4d04-b455-a65cf2ddb032	Response Usefulness	Prompted Suggestions
537555fa-1109-4c13-b0be-82d1b886235c	Response Risk Awareness	Prompted Suggestions
8fceb8c1-34dc-421b-884f-7b1750c04dae	Response Risk Awareness	Emphasize Risk Awareness
8fceb8c1-34dc-421b-884f-7b1750c04dae	Response Usefulness	Emphasize Risk Awareness
90cd3bef-4751-4b1a-b805-e526a71c8514	Response Risk Awareness	Emphasize Risk Awareness
90cd3bef-4751-4b1a-b805-e526a71c8514	Response Usefulness	Emphasize Risk Awareness
90cd3bef-4751-4b1a-b805-e526a71c8514	Response Identification of the Root Cause	Emphasize Risk Awareness
1c63f53b-0963-4d1c-a68c-eddc55dbf03c	Response Risk Awareness	Prompted Suggestions
4d666263-7616-4973-b206-3d67396823af	Response Usefulness	Explain Problems in Prompt
12d847bf-2f97-4781-a869-2a87abd4ea56	Child Intentions	
16df86f7-1160-4de0-a270-db1c283fb33c	Response Usefulness	Emphasize Emotional Support
34ebf6f0-2ec1-4aba-84b3-230abd5502c0	Response Risk Awareness	Prompted Suggestions
64be0ad0-a67b-4278-ba59-eb5862a14035	Response Organization	Prompted Suggestions
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
