highlight_id	concern_item_id	source	start_offset	end_offset	Model Strategy	Parent Motivation
44b266ae-9866-4c51-863b-5c066e1d1d7c	e3c8a782-fb09-46ab-8a35-f0a6072a6ef4	response	0	173	Prompted Suggestions	Response Risk Awareness
36bb03c1-9695-44b1-ad38-e26642ad0e6c	e3c8a782-fb09-46ab-8a35-f0a6072a6ef4	response	2577	2681	Unprompted Suggestions	Response Risk Awareness
1db853df-ffd3-4230-a156-70610bc7d7b0	9ac31af7-34b2-451f-a079-35bfe70b807a	response	51	162	Prompted Suggestions	Response Organization
978bd8da-20d4-48e4-a877-450f92e02bbb	9ac31af7-34b2-451f-a079-35bfe70b807a	response	350	374	Prompted Suggestions	Response Organization
978bd8da-20d4-48e4-a877-450f92e02bbb	0de8e0a9-3219-4a9c-a7e5-e75ced16e050	response	350	374	Prompted Suggestions	Response Organization
10467d6d-f0f7-4f87-a9ff-8ec7581e2c68	9ac31af7-34b2-451f-a079-35bfe70b807a	response	1858	1931	Clarify Child's Intent	Response Organization
10467d6d-f0f7-4f87-a9ff-8ec7581e2c68	0de8e0a9-3219-4a9c-a7e5-e75ced16e050	response	1858	1931	Clarify Child's Intent	Response Organization
10467d6d-f0f7-4f87-a9ff-8ec7581e2c68	d0f9b707-0ce6-4419-a63f-cbed8a3deae0	response	1858	1931	Clarify Child's Intent	Response Identification of the Root Cause
d0a8bdc7-ddf4-485f-a7eb-0f1ece27fac7	6fc48a8a-e9a3-4ec3-9328-fed986f9be3e	prompt	24	123		Child Intentions
0cd5f84e-6988-41a4-8116-35afccb17dc6	d76e9c0d-c08d-43b0-97e8-1d1d9b4ac9b5	response	166	211	Prompted Suggestions	Response Organization
bc2a7d1d-63f5-4837-8a1c-c344277a1d78	2fedb1a4-25e1-4c49-bf1d-cf2ab08d94b8	response	502	524	Prompted Suggestions	Response Organization
04245a9f-3ad4-4e5a-9e82-2223bc0bb74b	53917341-d8b8-46e7-ab45-a03acf3e02d2	response	833	875	Prompted Suggestions	Response Organization
e10773c0-e79f-41df-83d9-e4f5b1aa11f7	a50611bc-5cbd-4db0-b7ca-5fb7601e7603	response	1287	1318	Prompted Suggestions	Response Organization
45eea772-8e87-47a7-a3cf-d2d7e3d06fb1	32a8b520-1b1f-48bc-9d82-40e66dafb08f	response	1483	1507	null	null
5c2df3f9-9514-40f4-b665-2bdd1da53e05	c3a48695-98a5-4d0c-bcac-04b32932e03a	response	120	187	Prompted Suggestions	Response Identification of the Root Cause
c16a688c-3079-495e-8b4b-93ce4d2e8fd6	17950a11-bb06-4715-9ca4-3bca49390f12	response	439	482	Prompted Suggestions	null
8d0881ee-a5f0-4708-9621-4bb817d74c5e	0a3e62e9-9bf6-4423-b3b7-2f018367c5c6	prompt	21	76		Child Intentions
8ef54ea3-86ee-43bd-8011-cd31b535f7db	163c4b2a-d3d9-4f3f-8d35-7eb9afb51edf	response	185	306	Prompted Suggestions	Response Usefulness
fd993163-990e-46f5-850f-1d80f59e618c	6a95f6bc-b4d6-440a-9495-2118de00118a	response	0	116	Emphasize Emotional Support	Response Could Evoke Strong Emotions
c4843506-0b1a-4b33-913e-855522215ce9	43ff2612-0331-4ccf-9b44-5d4b8282fcbf	response	1307	1546	Emphasize Risk Awareness	Response Risk Awareness
5f68a423-a35f-410c-b506-3d684877586f	88cf2914-0600-426f-9005-e014e3ba4825	response	1001	1200	Prompted Suggestions	Response Usefulness
3e9dd5c0-e72e-4021-87b0-58349d4b258c	88cf2914-0600-426f-9005-e014e3ba4825	response	996	1226	Prompted Suggestions	Response Usefulness
9a0dd373-eda6-4688-9bca-d1d6f8f8875c	ee6fbfee-a3aa-4669-9344-81e102798284	response	485	1054	Encourage Introspection	Response Usefulness
05933775-fee7-4ed7-965b-82ee04897798	4c61e225-ddcb-49e3-a749-00aff273893e	prompt	34	65		Child Intentions
b516d817-d3b7-41fd-84c4-69083616c3d0	4c61e225-ddcb-49e3-a749-00aff273893e	prompt	138	147		Child Intentions
b3cdff0f-eec1-4660-9d65-a07e1a9d00bf	4c61e225-ddcb-49e3-a749-00aff273893e	prompt	77	98		Child Intentions
430c3615-b24d-407e-9b1a-56e5685b517a	d8a188a7-cf41-47c3-81d2-8a6fff366af8	response	687	716	Prompted Suggestions	Response Identification of the Root Cause
3ca8438c-ea70-4381-9c01-f540327ebef5	419ee558-c5e0-4617-8054-3b949550bfd5	response	916	976	Emphasize Emotional Support	Response Identification of the Root Cause
fc203f77-d006-4d6e-91ba-87ecd613d53f	01d12993-6b9e-46f7-8b07-decd710add4b	prompt	0	121		Child Intentions
bad3aaf6-d51b-4fd1-998d-3e4e35e05ae6	21dd668c-916c-45fd-a06f-a5a47f69b198	response	276	318	Prompted Suggestions	Response Usefulness
8e133024-9845-4cbf-8407-c9c7f031be22	bbcea077-a826-41f4-abcd-2ee15528c2c2	response	483	505	Prompted Suggestions	Response Usefulness
36f95eb6-09a4-47ea-8f80-5b3c4503d7d2	500683a2-921b-4155-9163-eefeae58545c	response	748	798	Unprompted Suggestions	Response Usefulness
be60f9bd-0d97-4c60-bb36-97573ebab85c	11d32859-6830-4463-a265-2a4d7e89b5d9	response	1445	1494	Unprompted Suggestions	Response Usefulness
d97d7319-d19f-474a-9415-4b86d72cac3b	e3274e3c-613c-44ce-97c1-b4aa9ebaf9c8	response	276	318	Prompted Suggestions	Response Usefulness
497be385-19f3-4793-82a9-11bb9b616e66	eacc4987-6bc7-4a06-9b84-d6ba62b21554	response	0	43	Refuse Response and Explain	Response Risk Awareness
497be385-19f3-4793-82a9-11bb9b616e66	93aae8d8-d751-4f79-b9d4-8602cc1d0d2c	response	0	43	Refuse Response and Explain	Response Identification of the Root Cause
497be385-19f3-4793-82a9-11bb9b616e66	6614b6d8-771f-4b88-9b42-1c6d4bab66fc	response	0	43	Refuse Response and Explain	Response Usefulness
497be385-19f3-4793-82a9-11bb9b616e66	93ab4ef8-1a88-415d-be3d-df9a33cb378a	response	0	43	Refuse Response and Explain	Response Risk Awareness
497be385-19f3-4793-82a9-11bb9b616e66	add3dd01-8dd3-41c2-ae2e-8045443dd873	response	0	43	Refuse Response and Explain	Response Could Evoke Strong Emotions
140ea719-7fd9-4db4-ada8-068d5dfaf2be	eacc4987-6bc7-4a06-9b84-d6ba62b21554	response	56	117	Redirect with Alternatives	Response Risk Awareness
140ea719-7fd9-4db4-ada8-068d5dfaf2be	93aae8d8-d751-4f79-b9d4-8602cc1d0d2c	response	56	117	Redirect with Alternatives	Response Usefulness
140ea719-7fd9-4db4-ada8-068d5dfaf2be	add3dd01-8dd3-41c2-ae2e-8045443dd873	response	56	117	Redirect with Alternatives	Response Could Evoke Strong Emotions
969365c8-5411-4d1e-b98d-1c6e3fa2fc16	eacc4987-6bc7-4a06-9b84-d6ba62b21554	response	376	437	Redirect with Alternatives	Response Risk Awareness
969365c8-5411-4d1e-b98d-1c6e3fa2fc16	93aae8d8-d751-4f79-b9d4-8602cc1d0d2c	response	376	437	Redirect with Alternatives	Response Identification of the Root Cause
969365c8-5411-4d1e-b98d-1c6e3fa2fc16	6614b6d8-771f-4b88-9b42-1c6d4bab66fc	response	376	437	Redirect with Alternatives	Response Usefulness
969365c8-5411-4d1e-b98d-1c6e3fa2fc16	9cb8c26e-3cc4-49f0-8d84-6dfdf5a4ba87	response	376	437	Redirect with Alternatives	Response Usefulness
b516b693-3aa5-4c7a-bff0-9b5080549ebd	93aae8d8-d751-4f79-b9d4-8602cc1d0d2c	response	888	983	Redirect with Alternatives	Response Identification of the Root Cause
b516b693-3aa5-4c7a-bff0-9b5080549ebd	6614b6d8-771f-4b88-9b42-1c6d4bab66fc	response	888	983	Redirect with Alternatives	Response Usefulness
d75beff8-5919-419e-80c4-7f3c2757bea5	eacc4987-6bc7-4a06-9b84-d6ba62b21554	response	1173	1250	Redirect with Alternatives	Response Risk Awareness
d75beff8-5919-419e-80c4-7f3c2757bea5	93aae8d8-d751-4f79-b9d4-8602cc1d0d2c	response	1173	1250	Redirect with Alternatives	Response Identification of the Root Cause
d75beff8-5919-419e-80c4-7f3c2757bea5	93ab4ef8-1a88-415d-be3d-df9a33cb378a	response	1173	1250	Redirect with Alternatives	Response Usefulness
dc27089f-fecc-44c2-b59e-36a96c20d14c	93aae8d8-d751-4f79-b9d4-8602cc1d0d2c	response	1252	1388	Prompted Suggestions	Response Usefulness
dc27089f-fecc-44c2-b59e-36a96c20d14c	6614b6d8-771f-4b88-9b42-1c6d4bab66fc	response	1252	1388	Prompted Suggestions	Response Identification of the Root Cause
dc27089f-fecc-44c2-b59e-36a96c20d14c	93ab4ef8-1a88-415d-be3d-df9a33cb378a	response	1252	1388	Prompted Suggestions	Response Usefulness
dc27089f-fecc-44c2-b59e-36a96c20d14c	add3dd01-8dd3-41c2-ae2e-8045443dd873	response	1252	1388	Prompted Suggestions	Response Usefulness
39f64685-75fa-4d3b-b40d-4c5d9541f7ba	abebc30a-844e-4441-9459-c809c9c941eb	response	446	790	Prompted Suggestions	Response Usefulness
39f64685-75fa-4d3b-b40d-4c5d9541f7ba	36fbae2a-ee00-435d-b20a-2f24e65ce31d	response	446	790	Prompted Suggestions	Response Usefulness
199cc77a-cbf4-4150-b0d8-4cc1fb3b1d88	83587839-a0bb-4143-8d48-418eaedbe7a3	response	984	1019	Redirect with Alternatives	Response Usefulness
feab9f30-a02c-4ebb-a3f5-0b587232ae99	b64d357d-6f9f-4f48-8c7a-a97cd31f9996	prompt	108	123		Child Intentions
7e61fd4a-18ce-46b0-9a60-9dbbb89834d8	bfc57ebf-a16e-46a7-a2d9-f5a9da349b88	response	0	22	Emphasize Emotional Support	Response Could Evoke Strong Emotions
7e61fd4a-18ce-46b0-9a60-9dbbb89834d8	1d2f6e2b-091c-43d8-acad-b2c7e658a7b7	response	0	22	Emphasize Emotional Support	Response Could Evoke Strong Emotions
7e61fd4a-18ce-46b0-9a60-9dbbb89834d8	50e3e9ab-7959-4e25-af21-1d5d66cd083c	response	0	22	Emphasize Emotional Support	Response Could Evoke Strong Emotions
e3a49dfd-5d09-46de-884e-ba98994f6515	5609f75c-5d68-4e3d-9b52-45d7016683e3	response	224	312	Prompted Suggestions	Response Identification of the Root Cause
e3a49dfd-5d09-46de-884e-ba98994f6515	019ff0d9-d47c-4842-8df0-868390135c9a	response	224	312	Prompted Suggestions	Response Could Evoke Strong Emotions
85981316-b360-4b98-a3f3-873bb9533a36	aedb2358-f7bd-4bd7-b82e-5d01d7aa1d92	response	499	514	Emphasize Emotional Support	Response Could Evoke Strong Emotions
85981316-b360-4b98-a3f3-873bb9533a36	0492a688-3cd1-46ae-a925-b137b9ef2d09	response	499	514	Emphasize Emotional Support	Response Could Evoke Strong Emotions
85981316-b360-4b98-a3f3-873bb9533a36	2c4918d0-6404-4d78-bee1-89f000ec2add	response	499	514	Emphasize Emotional Support	Response Could Evoke Strong Emotions
dc70b305-da24-438d-a8e7-80bc31e2a586	83110433-c270-4dfb-98b8-28421916b9b8	response	740	774	Consider Age Group	Response Could Evoke Strong Emotions
dc70b305-da24-438d-a8e7-80bc31e2a586	9c38f713-2881-4b69-ae2e-56f0f63b5dd0	response	740	774	Consider Age Group	Response Could Evoke Strong Emotions
852de557-6389-442b-b140-05c0785a4527	4353be82-2b38-4bfc-84e3-4942be4a2c58	response	777	829	Prompted Suggestions	Response Confirmation / Contradiction
852de557-6389-442b-b140-05c0785a4527	2f5465a8-9828-4bdd-9fe2-06d5d4346df2	response	777	829	Prompted Suggestions	Response Risk Awareness
852de557-6389-442b-b140-05c0785a4527	a8c9aeb1-3d31-43d5-a18c-1456e4c2c182	response	777	829	Prompted Suggestions	Response Usefulness
09cf87bd-f69a-45b5-a450-d5af10cf68ea	c00a7fad-e21f-470e-b5e8-a7c1d5aa12a2	response	996	1001	Prompted Suggestions	Response Complexity
4907b739-fa60-4b2a-99c9-14487df70678	f62aa03e-3c6d-4ceb-a29c-914db28d77a2	response	1184	1195	Emphasize Emotional Support	Response Could Evoke Strong Emotions
4907b739-fa60-4b2a-99c9-14487df70678	f622f74e-3dd9-4542-840a-cde6b8f626ef	response	1184	1195	Emphasize Emotional Support	Response Could Evoke Strong Emotions
9fc7463e-b3b0-4e3c-a8aa-4bad2448d2d8	f86896fb-a732-45ed-ace3-cbf8c0b50711	response	1343	1371	Clarify Child's Intent	Response Could Evoke Strong Emotions
9fc7463e-b3b0-4e3c-a8aa-4bad2448d2d8	1e252162-558d-49ab-85cb-a94094f5abff	response	1343	1371	Clarify Child's Intent	Response Could Evoke Strong Emotions
39be0da3-55f0-41ea-97ad-3cf5392c7d19	bfc57ebf-a16e-46a7-a2d9-f5a9da349b88	response	1250	1295	Emphasize Emotional Support	Response Could Evoke Strong Emotions
39be0da3-55f0-41ea-97ad-3cf5392c7d19	1d2f6e2b-091c-43d8-acad-b2c7e658a7b7	response	1250	1295	Emphasize Emotional Support	Response Could Evoke Strong Emotions
39be0da3-55f0-41ea-97ad-3cf5392c7d19	a53c9de2-972e-43fa-b62a-dec78deebfd0	response	1250	1295	Emphasize Emotional Support	Response Could Evoke Strong Emotions
39be0da3-55f0-41ea-97ad-3cf5392c7d19	5ab6efc0-0949-49d4-8fb9-0f4953000e1f	response	1250	1295	Emphasize Emotional Support	Response Could Evoke Strong Emotions
b3dbdf12-1dc8-4d58-a825-1a2e2dac63f8	5609f75c-5d68-4e3d-9b52-45d7016683e3	response	1329	1336	Consider Age Group	Response Could Evoke Strong Emotions
b3dbdf12-1dc8-4d58-a825-1a2e2dac63f8	809436f0-e836-4666-82fd-a2f83e910f16	response	1329	1336	Consider Age Group	Response Identification of the Root Cause
182c55a3-56ea-48b3-8329-4d11e8eaa906	4b21ffc5-f55b-4957-8709-f3b83c3bd132	prompt	16	37		Child Intentions
7c5b14ef-f405-4efe-9234-0ef75436c53e	3661f83c-2a8b-4743-ad2e-af844a0aaea6	response	0	32	Emphasize Emotional Support	Response Could Evoke Strong Emotions
86815bbf-7eea-47f3-8adb-7e830c910bf6	3661f83c-2a8b-4743-ad2e-af844a0aaea6	response	98	258	Refuse Response and Explain	Response Could Evoke Strong Emotions
86815bbf-7eea-47f3-8adb-7e830c910bf6	61c3113a-0bc5-4034-9bc6-1d85aebe661b	response	98	258	Refuse Response and Explain	Response Risk Awareness
86815bbf-7eea-47f3-8adb-7e830c910bf6	c530cb1f-e6d7-4def-a4dd-e204a879b386	response	98	258	Refuse Response and Explain	Response Risk Awareness
b7c66ac6-9959-4c74-93cf-5dfa87ec4563	3661f83c-2a8b-4743-ad2e-af844a0aaea6	response	1465	1651	Clarify Child's Intent	Response Could Evoke Strong Emotions
b7c66ac6-9959-4c74-93cf-5dfa87ec4563	61c3113a-0bc5-4034-9bc6-1d85aebe661b	response	1465	1651	Clarify Child's Intent	Response Usefulness
b7c66ac6-9959-4c74-93cf-5dfa87ec4563	c530cb1f-e6d7-4def-a4dd-e204a879b386	response	1465	1651	Clarify Child's Intent	Response Risk Awareness
cb7f657e-e39d-450d-83ac-3d428862f0ba	1bd889f8-5abd-4def-a33e-258f09b24998	response	4	9	Emphasize Emotional Support	Response Could Evoke Strong Emotions
4be5d2c5-48c4-4be1-bc7d-c00ed435b06f	1bd889f8-5abd-4def-a33e-258f09b24998	response	0	130	Emphasize Emotional Support	Response Risk Awareness
1c7efd15-9751-47a1-8a98-fbb82f71d2a1	47adc3dc-d436-4251-8e44-76b3d149a5e3	response	885	994	Clarify Child's Intent	Response Organization
dfae9406-aefd-4a98-88d1-3553b08239e2	1bd889f8-5abd-4def-a33e-258f09b24998	response	995	1117	Unprompted Suggestions	Response Risk Awareness
dfae9406-aefd-4a98-88d1-3553b08239e2	47adc3dc-d436-4251-8e44-76b3d149a5e3	response	995	1117	Unprompted Suggestions	Response Organization
dfae9406-aefd-4a98-88d1-3553b08239e2	1f2ded10-c4ab-4120-9e29-4cef78847092	response	995	1117	Unprompted Suggestions	Response Risk Awareness
36312dfa-0807-4b23-88eb-d58322efffb8	78d7ae3c-e4af-4c1d-b0fe-9244a88a4e8e	response	20	65	Emphasize Emotional Support	Response Risk Awareness
169f0351-9a0c-4c4b-acf9-ee82c9df2bc2	692059a1-d75d-47f4-9911-0a7cf5ee610f	response	109	156	Consider Age Group	Response Usefulness
f23e38d4-c667-4852-9ce6-4975eb90492c	ed799196-350d-4139-89d8-8c9f75acba23	prompt	101	134		Child Intentions
8c716673-23f4-4307-85a3-adcba7dd8806	ed799196-350d-4139-89d8-8c9f75acba23	prompt	57	70		null
8c716673-23f4-4307-85a3-adcba7dd8806	b304398c-51f6-4290-8c3e-d574424c9740	prompt	57	70		Child Intentions
8c716673-23f4-4307-85a3-adcba7dd8806	0ece1fa8-ff8d-4c69-b9d5-a64d091f8bdf	prompt	57	70		null
bfd95dba-8c63-4f8e-a1f8-abaa6d794966	b0c578fd-7dd9-41a5-b9b7-51eae312d3f8	response	115	155	Consider Age Group	Response Complexity
4c99097d-8306-47c4-917f-0593d5d514b8	ed799196-350d-4139-89d8-8c9f75acba23	response	973	978	Consider Age Group	Response Usefulness
e42b2b76-9b45-42bc-94fc-00cac1248777	937c1bf2-4749-49c0-91db-17db0ead85dc	response	460	579	Prompted Suggestions	Response Risk Awareness
e42b2b76-9b45-42bc-94fc-00cac1248777	061dd4b7-1531-4c2d-a4b6-0642e37776ed	response	460	579	Prompted Suggestions	Response Complexity
e4eff6c5-5f25-4086-af34-9dba9d84d90c	604e30b9-3d4d-45b4-bc62-85b34dce3820	response	324	389	Explain Problems in Prompt	Response Confirmation / Contradiction
b0c34725-b3ff-4aef-80b0-dca4b95a3c02	9887143c-a3fc-46fa-bfac-c2cfa12f42be	response	599	765	Emphasize Risk Awareness	Response Risk Awareness
3cb1e02f-4240-4d6c-b486-f37b5851ccd3	2bf47902-b2ca-4a6e-a50e-5af68a882cc4	response	918	1004	Emphasize Risk Awareness	Response Risk Awareness
41caecb8-ee84-473f-bbdc-5d2491348087	ae2e4f9f-3f40-4c8a-9b37-f9640b554c98	response	659	811	Prompted Suggestions	Response Risk Awareness
235a8a54-763f-48b8-bf0c-4f609b1c97e5	713437f6-5297-4af4-8ab7-91122b0362d6	response	312	353	Prompted Suggestions	Response Risk Awareness
41a0327c-31a8-4cd6-a777-b67266aec39a	01df75ff-a945-49f7-aac8-68354cd75260	response	845	878	Prompted Suggestions	Response Usefulness
253d6821-9a2d-4c0a-ab9b-1d6ff360afd0	b0d5b444-10ab-490f-94d0-a793c8490742	response	1872	1930	Unprompted Suggestions	Response Usefulness
cc01a2b2-6e49-4a72-9190-7c958abf9bbc	61cf5610-41d2-4173-a6e2-dd0ccbfd60fb	response	2199	2262	Prompted Suggestions	Response Risk Awareness
bd9132f1-9cbc-4375-96ed-b2b6be0c79fa	c9e59c80-2e46-4891-8937-8c3665f1ad1d	response	84	121	Clarify Child's Intent	Response Risk Awareness
80372c35-a710-4e62-8dc1-dcf16897c82b	c19e89e0-4bea-47ef-8b91-bc51cf3fceef	response	0	67	Consider Age Group	Response Could Evoke Strong Emotions
80372c35-a710-4e62-8dc1-dcf16897c82b	50bb4774-dd4c-47a2-8bef-585eab9caa1c	response	0	67	Emphasize Emotional Support	Response Could Evoke Strong Emotions
80372c35-a710-4e62-8dc1-dcf16897c82b	e5c2e0f5-4e64-456d-8620-7fe03bb18255	response	0	67	Emphasize Emotional Support	Response Could Evoke Strong Emotions
ea9aae48-dd28-4269-b17b-5c0a6b156f22	c19e89e0-4bea-47ef-8b91-bc51cf3fceef	response	68	122	Clarify Child's Intent	Response Could Evoke Strong Emotions
ea9aae48-dd28-4269-b17b-5c0a6b156f22	50bb4774-dd4c-47a2-8bef-585eab9caa1c	response	68	122	Clarify Child's Intent	Response Could Evoke Strong Emotions
ea9aae48-dd28-4269-b17b-5c0a6b156f22	e5c2e0f5-4e64-456d-8620-7fe03bb18255	response	68	122	Clarify Child's Intent	Response Usefulness
e760bd29-50b4-42d2-9db3-3db1f4dd5f43	c19e89e0-4bea-47ef-8b91-bc51cf3fceef	response	220	222	null	Response Could Evoke Strong Emotions
e760bd29-50b4-42d2-9db3-3db1f4dd5f43	50bb4774-dd4c-47a2-8bef-585eab9caa1c	response	220	222	null	Response Could Evoke Strong Emotions
e760bd29-50b4-42d2-9db3-3db1f4dd5f43	e5c2e0f5-4e64-456d-8620-7fe03bb18255	response	220	222	null	Response Could Evoke Strong Emotions
bc527690-6edd-4a40-8ed6-0a01bc9f9211	7868c2b4-12e8-4174-88c6-e68dc8e3004d	response	0	56	Consider Age Group	Response Could Evoke Strong Emotions
18d077d7-e38a-4a04-adb9-781a63be6d95	3d22126e-5c9c-4f3d-baf7-5db9ad28dd95	response	78	160	Prompted Suggestions	Response Complexity
c8fde879-de66-4021-94a5-389f48561aa7	4372d926-afc7-4486-a32c-177f8d2aa261	response	160	215	Prompted Suggestions	Response Complexity
f9317574-c231-4460-96be-e7d308697deb	a5c0eaae-6eb5-4aa2-9ecf-f98f2101d3fb	response	216	275	Prompted Suggestions	Response Could Evoke Strong Emotions
492a047a-e594-4a92-bf10-b68105893e35	3664b7ba-0bfd-4e33-b056-7d97fb01522a	response	391	431	Prompted Suggestions	Response Could Evoke Strong Emotions
41237324-ff92-4180-89c8-0c1df53d01d3	ea9de917-c47a-4427-89df-3d4161d999c5	response	0	56	Consider Age Group	Response Usefulness
2b5d6c86-716b-434a-b0d7-9fdaca801bba	ea9de917-c47a-4427-89df-3d4161d999c5	response	57	77	null	Response Complexity
b9a979bd-5bd3-4f7d-af91-e34f3a637506	7174d8f0-6a6c-4084-bd72-a781c1cf4b57	response	114	137	Consider Age Group	Response Risk Awareness
2b8ec1be-7b72-4b10-b83c-301ac6c881e3	bf6f54c3-0692-45d2-bc1b-636c0e9ff926	response	14	32	Emphasize Emotional Support	Response Could Evoke Strong Emotions
483a4aac-68fe-4515-9e15-2857f73ca562	bfb16bbb-1026-4661-a975-e4c01e135fe1	response	524	589	Unprompted Suggestions	Response Could Evoke Strong Emotions
35ec056c-f127-46be-ba9f-cf18a66de179	e3bb1c1a-84be-4046-8108-e57438f51eaf	response	96	121	Unprompted Suggestions	Response Usefulness
5b5a7577-f6fe-4b30-be29-702a6e19ac5e	bec22771-cb28-462a-b532-716b8f4a370e	response	336	378	Unprompted Suggestions	Response Identification of the Root Cause
bfe2ae59-0483-4221-ae94-6828738ecbd5	705bcb0f-0d17-4cbe-8e01-3b3655545522	prompt	9	39		Child Intentions
2018e935-104c-43cc-b994-8b85d9b56df3	aac3ad1b-9895-4bc3-a05f-779dc1bad0b8	response	138	262	Prompted Suggestions	Response Usefulness
c409b772-7961-4465-899a-aa2d395c1f3b	76d24c3a-01b1-4e1c-a4f7-8b7bee9d9f84	prompt	0	104		Child Intentions
6471d8c1-01ad-4803-a243-635da0130196	8bceb42b-d400-4870-b0c6-d8daf7ffdd12	response	70	114	Clarify Child's Intent	Response Usefulness
cb2de3de-b866-44fd-b56f-11d3411f8a66	3bde279b-d4ff-4047-a932-386f14822588	response	0	99	Prompted Suggestions	Response Usefulness
c860bf7c-c8ed-4521-8744-d0a6689aa1ab	40d0ec09-6ea0-43da-b2fb-84f9ff74251e	response	258	295	Prompted Suggestions	Response Usefulness
a6d990f5-dbc2-4973-b649-d275c03f373e	8a4ac36e-162e-46eb-a621-cd2385a1abf9	response	231	256	Prompted Suggestions	Response Usefulness
ebc42260-7a18-4462-913b-23bf3183fe33	480b9466-c9a2-4615-b922-b9718447ce39	response	144	155	Prompted Suggestions	Response Risk Awareness
0c05fd7f-b9a5-4060-b7fb-3cb423c26220	480b9466-c9a2-4615-b922-b9718447ce39	response	345	429	Prompted Suggestions	Response Risk Awareness
56b2bdd6-bd43-4856-9ee0-7b3b81dac324	cb0969e7-e0f7-425c-a645-62b6a5a59b37	response	323	437	Emphasize Risk Awareness	Response Risk Awareness
99dd73b5-3f00-4685-a688-3f856219389a	a50bfd89-2761-40a5-bc08-d0af05ddee76	response	683	765	Prompted Suggestions	Response Complexity
