highlight_id	Model Strategy	Parent Motivation
140ea719-7fd9-4db4-ada8-068d5dfaf2be	Redirect with Alternatives	Response Usefulness
140ea719-7fd9-4db4-ada8-068d5dfaf2be	Redirect with Alternatives	Response Could Evoke Strong Emotions
969365c8-5411-4d1e-b98d-1c6e3fa2fc16	Redirect with Alternatives	Response Usefulness
969365c8-5411-4d1e-b98d-1c6e3fa2fc16	Redirect with Alternatives	Response Usefulness
969365c8-5411-4d1e-b98d-1c6e3fa2fc16	Redirect with Alternatives	Response Identification of the Root Cause
969365c8-5411-4d1e-b98d-1c6e3fa2fc16	Redirect with Alternatives	Response Usefulness
b516b693-3aa5-4c7a-bff0-9b5080549ebd	Prompted Suggestions	Response Usefulness
b516b693-3aa5-4c7a-bff0-9b5080549ebd	Prompted Suggestions	Response Usefulness
d75beff8-5919-419e-80c4-7f3c2757bea5	Redirect with Alternatives	Response Usefulness
d75beff8-5919-419e-80c4-7f3c2757bea5	Redirect with Alternatives	Response Usefulness
d75beff8-5919-419e-80c4-7f3c2757bea5	Redirect with Alternatives	Response Usefulness
dc27089f-fecc-44c2-b59e-36a96c20d14c	Prompted Suggestions	Response Usefulness
dc27089f-fecc-44c2-b59e-36a96c20d14c	Prompted Suggestions	Response Usefulness
dc27089f-fecc-44c2-b59e-36a96c20d14c	Prompted Suggestions	Response Usefulness
dc27089f-fecc-44c2-b59e-36a96c20d14c	Prompted Suggestions	Response Usefulness
39f64685-75fa-4d3b-b40d-4c5d9541f7ba	Prompted Suggestions	Response Usefulness
39f64685-75fa-4d3b-b40d-4c5d9541f7ba	Defer to Parents	Response Usefulness
199cc77a-cbf4-4150-b0d8-4cc1fb3b1d88	Redirect with Alternatives	Response Usefulness
feab9f30-a02c-4ebb-a3f5-0b587232ae99		Child Intentions
7e61fd4a-18ce-46b0-9a60-9dbbb89834d8	Emphasize Emotional Support	Response Could Evoke Strong Emotions
7e61fd4a-18ce-46b0-9a60-9dbbb89834d8	Emphasize Emotional Support	Response Could Evoke Strong Emotions
7e61fd4a-18ce-46b0-9a60-9dbbb89834d8	Emphasize Emotional Support	Response Could Evoke Strong Emotions
e3a49dfd-5d09-46de-884e-ba98994f6515	Prompted Suggestions	Response Usefulness
e3a49dfd-5d09-46de-884e-ba98994f6515	Prompted Suggestions	Response Could Evoke Strong Emotions
85981316-b360-4b98-a3f3-873bb9533a36	Emphasize Emotional Support	Response Could Evoke Strong Emotions
85981316-b360-4b98-a3f3-873bb9533a36	Emphasize Emotional Support	Response Could Evoke Strong Emotions
85981316-b360-4b98-a3f3-873bb9533a36	Emphasize Emotional Support	Response Could Evoke Strong Emotions
dc70b305-da24-438d-a8e7-80bc31e2a586	Consider Age Group	Response Could Evoke Strong Emotions
dc70b305-da24-438d-a8e7-80bc31e2a586	Consider Age Group	Response Could Evoke Strong Emotions
852de557-6389-442b-b140-05c0785a4527	Prompted Suggestions	Response Confirmation / Contradiction
852de557-6389-442b-b140-05c0785a4527	Emphasize Risk Awareness	Response Risk Awareness
852de557-6389-442b-b140-05c0785a4527	Prompted Suggestions	Response Usefulness
09cf87bd-f69a-45b5-a450-d5af10cf68ea	Prompted Suggestions	Response Complexity
4907b739-fa60-4b2a-99c9-14487df70678	Emphasize Emotional Support	Response Could Evoke Strong Emotions
4907b739-fa60-4b2a-99c9-14487df70678	Emphasize Emotional Support	Response Could Evoke Strong Emotions
9fc7463e-b3b0-4e3c-a8aa-4bad2448d2d8	Clarify Child's Intent	Response Usefulness
9fc7463e-b3b0-4e3c-a8aa-4bad2448d2d8	Emphasize Emotional Support	Response Identification of the Root Cause
39be0da3-55f0-41ea-97ad-3cf5392c7d19	Emphasize Emotional Support	Response Could Evoke Strong Emotions
39be0da3-55f0-41ea-97ad-3cf5392c7d19	Emphasize Emotional Support	Response Could Evoke Strong Emotions
39be0da3-55f0-41ea-97ad-3cf5392c7d19	Emphasize Emotional Support	Response Could Evoke Strong Emotions
39be0da3-55f0-41ea-97ad-3cf5392c7d19	Emphasize Emotional Support	Response Could Evoke Strong Emotions
b3dbdf12-1dc8-4d58-a825-1a2e2dac63f8	Consider Age Group	Response Could Evoke Strong Emotions
b3dbdf12-1dc8-4d58-a825-1a2e2dac63f8	Consider Age Group	Response Identification of the Root Cause
182c55a3-56ea-48b3-8329-4d11e8eaa906		Child Intentions
7c5b14ef-f405-4efe-9234-0ef75436c53e	Emphasize Emotional Support	Response Could Evoke Strong Emotions
86815bbf-7eea-47f3-8adb-7e830c910bf6	Refuse Response and Explain	Response Could Evoke Strong Emotions
86815bbf-7eea-47f3-8adb-7e830c910bf6	Refuse Response and Explain	Response Usefulness
86815bbf-7eea-47f3-8adb-7e830c910bf6	Refuse Response and Explain	Response Usefulness
b7c66ac6-9959-4c74-93cf-5dfa87ec4563	Unprompted Suggestions	Response Could Evoke Strong Emotions
b7c66ac6-9959-4c74-93cf-5dfa87ec4563	Redirect with Alternatives	Response Usefulness
b7c66ac6-9959-4c74-93cf-5dfa87ec4563	Prompted Suggestions	Response Risk Awareness
cb7f657e-e39d-450d-83ac-3d428862f0ba	null	Response Could Evoke Strong Emotions
4be5d2c5-48c4-4be1-bc7d-c00ed435b06f	Emphasize Emotional Support	Response Could Evoke Strong Emotions
1c7efd15-9751-47a1-8a98-fbb82f71d2a1	Clarify Child's Intent	Response Organization
dfae9406-aefd-4a98-88d1-3553b08239e2	Unprompted Suggestions	Response Could Evoke Strong Emotions
dfae9406-aefd-4a98-88d1-3553b08239e2	Unprompted Suggestions	Response Organization
dfae9406-aefd-4a98-88d1-3553b08239e2	Unprompted Suggestions	Response Risk Awareness
36312dfa-0807-4b23-88eb-d58322efffb8	Emphasize Risk Awareness	Response Risk Awareness
169f0351-9a0c-4c4b-acf9-ee82c9df2bc2	Consider Age Group	Response Usefulness
f23e38d4-c667-4852-9ce6-4975eb90492c		Child Intentions
8c716673-23f4-4307-85a3-adcba7dd8806		Child Intentions
8c716673-23f4-4307-85a3-adcba7dd8806		Child Intentions
8c716673-23f4-4307-85a3-adcba7dd8806		null
bfd95dba-8c63-4f8e-a1f8-abaa6d794966	Consider Age Group	Response Complexity
4c99097d-8306-47c4-917f-0593d5d514b8	Consider Age Group	Response Usefulness
e42b2b76-9b45-42bc-94fc-00cac1248777	Explain Problems in Prompt	Response Usefulness
e42b2b76-9b45-42bc-94fc-00cac1248777	Explain Problems in Prompt	Response Complexity
e4eff6c5-5f25-4086-af34-9dba9d84d90c	Explain Problems in Prompt	Response Confirmation / Contradiction
b0c34725-b3ff-4aef-80b0-dca4b95a3c02	Emphasize Risk Awareness	Response Usefulness
3cb1e02f-4240-4d6c-b486-f37b5851ccd3	Emphasize Risk Awareness	Response Risk Awareness
41caecb8-ee84-473f-bbdc-5d2491348087	Prompted Suggestions	Response Risk Awareness
235a8a54-763f-48b8-bf0c-4f609b1c97e5	Emphasize Risk Awareness	Response Risk Awareness
41a0327c-31a8-4cd6-a777-b67266aec39a	Prompted Suggestions	Response Usefulness
253d6821-9a2d-4c0a-ab9b-1d6ff360afd0	Unprompted Suggestions	Response Usefulness
cc01a2b2-6e49-4a72-9190-7c958abf9bbc	Emphasize Risk Awareness	Response Risk Awareness
bd9132f1-9cbc-4375-96ed-b2b6be0c79fa	Prompted Suggestions	Response Risk Awareness
80372c35-a710-4e62-8dc1-dcf16897c82b	Emphasize Emotional Support	Response Could Evoke Strong Emotions
80372c35-a710-4e62-8dc1-dcf16897c82b	Emphasize Emotional Support	Response Could Evoke Strong Emotions
80372c35-a710-4e62-8dc1-dcf16897c82b	Emphasize Emotional Support	Response Usefulness
ea9aae48-dd28-4269-b17b-5c0a6b156f22	Clarify Child's Intent	Response Usefulness
ea9aae48-dd28-4269-b17b-5c0a6b156f22	Clarify Child's Intent	Response Could Evoke Strong Emotions
ea9aae48-dd28-4269-b17b-5c0a6b156f22	Clarify Child's Intent	Response Usefulness
e760bd29-50b4-42d2-9db3-3db1f4dd5f43	Emphasize Emotional Support	Response Usefulness
e760bd29-50b4-42d2-9db3-3db1f4dd5f43	Emphasize Emotional Support	Response Could Evoke Strong Emotions
e760bd29-50b4-42d2-9db3-3db1f4dd5f43	Emphasize Emotional Support	Response Usefulness
bc527690-6edd-4a40-8ed6-0a01bc9f9211	Consider Age Group	Response Usefulness
18d077d7-e38a-4a04-adb9-781a63be6d95	Prompted Suggestions	Response Complexity
c8fde879-de66-4021-94a5-389f48561aa7	Prompted Suggestions	Response Complexity
f9317574-c231-4460-96be-e7d308697deb	Prompted Suggestions	Response Could Evoke Strong Emotions
492a047a-e594-4a92-bf10-b68105893e35	Prompted Suggestions	Response Usefulness
41237324-ff92-4180-89c8-0c1df53d01d3	Consider Age Group	Response Usefulness
2b5d6c86-716b-434a-b0d7-9fdaca801bba	Prompted Suggestions	Response Usefulness
b9a979bd-5bd3-4f7d-af91-e34f3a637506	Consider Age Group	Response Complexity
2b8ec1be-7b72-4b10-b83c-301ac6c881e3	Emphasize Emotional Support	Response Could Evoke Strong Emotions
483a4aac-68fe-4515-9e15-2857f73ca562	Redirect with Alternatives	Response Could Evoke Strong Emotions
35ec056c-f127-46be-ba9f-cf18a66de179	Unprompted Suggestions	Response Usefulness
5b5a7577-f6fe-4b30-be29-702a6e19ac5e	Unprompted Suggestions	Response Identification of the Root Cause
bfe2ae59-0483-4221-ae94-6828738ecbd5		Child Intentions
2018e935-104c-43cc-b994-8b85d9b56df3	Prompted Suggestions	Response Organization
c409b772-7961-4465-899a-aa2d395c1f3b		Child Intentions
6471d8c1-01ad-4803-a243-635da0130196	Clarify Child's Intent	Response Usefulness
cb2de3de-b866-44fd-b56f-11d3411f8a66	Prompted Suggestions	Response Usefulness
c860bf7c-c8ed-4521-8744-d0a6689aa1ab	Prompted Suggestions	Response Usefulness
a6d990f5-dbc2-4973-b649-d275c03f373e	Prompted Suggestions	Response Usefulness
ebc42260-7a18-4462-913b-23bf3183fe33	Emphasize Risk Awareness	Response Risk Awareness
0c05fd7f-b9a5-4060-b7fb-3cb423c26220	Prompted Suggestions	Response Usefulness
56b2bdd6-bd43-4856-9ee0-7b3b81dac324	Emphasize Risk Awareness	Response Risk Awareness
99dd73b5-3f00-4685-a688-3f856219389a	Prompted Suggestions	Response Complexity
c28eedc0-7580-4969-8137-b237a2db83d2	Emphasize Emotional Support	Response Could Evoke Strong Emotions
92a0641e-c4af-4510-937a-79fd14aea7e0	Emphasize Emotional Support	Response Could Evoke Strong Emotions
1cd32808-15d2-44f7-9e18-09a48606e1e0	Consider Age Group	Response Could Evoke Strong Emotions
b20db67b-ac91-4254-999d-5cd50ce1b753	Unprompted Suggestions	Response Usefulness
7a045af7-a044-46e0-ad02-46fd936ee67f	Consider Age Group	Response Complexity
03792646-f2c9-4208-bf49-18c5087ff35f	Emphasize Risk Awareness	Response Usefulness
a55790fb-f0e9-44b1-a89c-9aa1bc7c8828	Emphasize Risk Awareness	Response Risk Awareness
9062207e-06ba-4a27-a159-7a4cecd425ea	Redirect with Alternatives	Response Identification of the Root Cause
aa96dd5e-9aa2-4f29-b113-9c126dde1cd9	Emphasize Emotional Support	Response Could Evoke Strong Emotions
4b033d01-497f-4fba-aa04-5bf3d981e845	Emphasize Risk Awareness	Response Usefulness
1d4acdc6-2859-42ab-b998-096771bc6887	Prompted Suggestions	Response Usefulness
47c5cd1e-5c52-4911-abe8-d3df1c6e9eaa	Prompted Suggestions	Response Could Evoke Strong Emotions
92c009c7-a198-4fce-95e0-e33a24549a70	Prompted Suggestions	Response Could Evoke Strong Emotions
389f839b-6ebb-4a62-bb26-aa28efeaecd5	Prompted Suggestions	Response Usefulness
4360498b-d910-4e06-834b-9d5a2390df52	Defer to Parents	Response Usefulness
c28b1710-2832-46f8-89f9-4faf50a8019c	Defer to Parents	Response Usefulness
7de77362-c215-441f-ac8d-a55b026e3542	Prompted Suggestions	Response Usefulness
b1d0455c-c925-43ce-a594-9fd18bae5baa	Prompted Suggestions	Response Complexity
e98496f4-b5cc-421c-8668-58de10155ccf		Child Intentions
d5bbc97d-0278-49e3-a6c0-432d78523adb		Child Intentions
605f3143-f199-4ca7-b3c0-8f3d9d17bdec	Prompted Suggestions	Response Risk Awareness
d734eba2-cc84-4432-853c-e7e107d28019	Prompted Suggestions	Response Usefulness
0fd7bc5c-e6df-487a-9987-85640f655a32	Consider Age Group	Response Risk Awareness
471593eb-6b53-49c1-b92a-379b98e78beb	Consider Age Group	Response Usefulness
3dd5697a-4c11-4979-be4c-6a524693d3ea	Unprompted Suggestions	Response Usefulness
72145c6e-045b-4316-acbc-4db31bc20d9d	Unprompted Suggestions	Response Usefulness
f8fdbc97-5727-4838-b784-9f768dc24e5f	Unprompted Suggestions	Response Usefulness
2aaeec6f-7b74-489a-93a8-9d049070b786	Consider Age Group	Response Usefulness
33308404-2aab-4e2b-a148-136c907103c1	Prompted Suggestions	Response Risk Awareness
74f18548-c8c0-4ed2-917a-9ab1df4b9b6a	Prompted Suggestions	Response Risk Awareness
0c367808-cdd8-4305-b356-37f2cc13c394	Prompted Suggestions	Response Risk Awareness
c0835fd4-4f7d-4782-b93b-6b160ee375c7	Prompted Suggestions	Response Risk Awareness
e84abda3-9c35-4a00-999f-313df39b7ca0	Unprompted Suggestions	Response Usefulness
7877a0c6-9c38-4885-b64c-d0bd3ec78186	Clarify Child's Intent	Response Risk Awareness
7b0b7681-9ea2-46de-a602-a0941aa5e104		Child Intentions
7b0b7681-9ea2-46de-a602-a0941aa5e104		Parents Trust of Model Capabilities
581adb26-a840-42c3-81e0-e0eaf0aa60fc	Consider Age Group	Response Confirmation / Contradiction
581adb26-a840-42c3-81e0-e0eaf0aa60fc	Consider Age Group	null
3d64a62e-4d45-4e04-91b5-766e236492d9	Prompted Suggestions	Response Usefulness
3d64a62e-4d45-4e04-91b5-766e236492d9	Prompted Suggestions	Response Usefulness
7084b004-e4c5-4d12-a59b-133cd0cc5c2f	Prompted Suggestions	Response Usefulness
e304671e-b755-4ea4-a231-5ea31fc7b4c7	Emphasize Emotional Support	Response Could Evoke Strong Emotions
fb831073-75e1-4388-a06a-04a985c30b31	Explain Problems in Prompt	Response Could Evoke Strong Emotions
ab72d36d-61d7-4fa0-b79f-0748a36a990a	Encourage Introspection	Response Organization
17dbe921-5361-4e11-9c3e-22fc4014b007	Emphasize Emotional Support	Response Could Evoke Strong Emotions
75a00496-57b9-43e5-b1a1-82c0b4713bfc	Prompted Suggestions	Response Organization
75a00496-57b9-43e5-b1a1-82c0b4713bfc	Consider Age Group	Response Organization
75a00496-57b9-43e5-b1a1-82c0b4713bfc	Prompted Suggestions	Response Usefulness
75a00496-57b9-43e5-b1a1-82c0b4713bfc	Prompted Suggestions	Response Usefulness
75a00496-57b9-43e5-b1a1-82c0b4713bfc	Prompted Suggestions	Response Usefulness
726b31b1-2247-44b6-9307-47d343c4eb6c	Prompted Suggestions	Response Usefulness
0ff2c43b-efde-4a04-a512-09fac7492bc4	Emphasize Emotional Support	Response Identification of the Root Cause
e19ba0b9-02df-4587-a512-d4aa92c9c482	Emphasize Emotional Support	Response Could Evoke Strong Emotions
b5f6e4a0-c01d-4f8b-bdae-7cef6df14b86	Emphasize Emotional Support	Response Could Evoke Strong Emotions
fa964133-2c71-49c3-afde-82bc74401278	Emphasize Emotional Support	Response Usefulness
7f72695e-5c67-4ee4-b57b-19a6e83a397a	Emphasize Emotional Support	Response Could Evoke Strong Emotions
685b07e5-a858-4c5a-9a20-bf18ef0d8ce7	Emphasize Emotional Support	Response Could Evoke Strong Emotions
46f00e1d-cd96-4f49-81ee-f6d44a04981c	Emphasize Emotional Support	Response Could Evoke Strong Emotions
a086ddb3-a9b5-4de9-90dd-44af035fe7c1	Prompted Suggestions	Response Risk Awareness
0357a544-569a-4d7e-9fac-6d0d953fb272	null	Response Risk Awareness
771828d6-f5e0-4724-96cb-469e1fe8faeb	Emphasize Emotional Support	Response Risk Awareness
c5c8e4e5-10f5-47bd-a3f2-1176e242f47b	Prompted Suggestions	Response Risk Awareness
edc336c2-6d04-454c-b69b-5af1e080fe27	Explain Problems in Prompt	Response Could Evoke Strong Emotions
bca87a63-4024-4c30-98a3-887f46e4ae86	Encourage Introspection	Response Identification of the Root Cause
70001b8a-f401-4b84-9f4a-61a59d9befe9	Prompted Suggestions	Response Usefulness
5f1059b2-c369-42d8-80ba-b3696b498e43	null	Response Risk Awareness
025a212b-02b0-46e3-a019-73ab08f35563	Emphasize Emotional Support	Response Usefulness
eae98d93-739f-40b7-9cb0-523ade84eb13	Explain Problems in Prompt	Response Usefulness
eae98d93-739f-40b7-9cb0-523ade84eb13	Explain Problems in Prompt	Response Usefulness
2c87c554-20db-4a4c-a9a2-67f010904185	Encourage Introspection	Response Usefulness
2c87c554-20db-4a4c-a9a2-67f010904185	Encourage Introspection	Response Usefulness
2c87c554-20db-4a4c-a9a2-67f010904185	Encourage Introspection	Response Usefulness
8e0f8373-db06-4281-9b6c-0f4154b79f97	Prompted Suggestions	Response Risk Awareness
1a599650-60cc-45bf-9ee2-f1942309ca24	Clarify Child's Intent	Response Usefulness
6077d0b9-07ed-469c-bcab-a9992810c222	Prompted Suggestions	Response Usefulness
7f8e23ba-ee32-4479-a002-8ea278b43699	Emphasize Risk Awareness	Response Risk Awareness
563dcba1-c87a-41e4-85e8-3d31f00e27d9	Emphasize Risk Awareness	Response Risk Awareness
cba5433e-8f9c-43b8-968e-d1894cd2ec4a	Emphasize Risk Awareness	Response Risk Awareness
fcee262d-f9a4-4988-9dd0-93c03cf47b6f	Prompted Suggestions	Response Usefulness
e44717ab-5006-451e-8996-a95596d60841	Emphasize Emotional Support	Response Could Evoke Strong Emotions
00d96a3c-78d8-4dd9-af37-31b03588570b	Emphasize Risk Awareness	Response Risk Awareness
8165b818-1f05-4052-8702-a9172148da6f	Prompted Suggestions	Response Usefulness
7fa738e9-1767-4d04-b455-a65cf2ddb032	Prompted Suggestions	Response Usefulness
537555fa-1109-4c13-b0be-82d1b886235c	Emphasize Risk Awareness	Response Risk Awareness
8fceb8c1-34dc-421b-884f-7b1750c04dae	Emphasize Emotional Support	Response Risk Awareness
8fceb8c1-34dc-421b-884f-7b1750c04dae	Emphasize Emotional Support	Response Usefulness
90cd3bef-4751-4b1a-b805-e526a71c8514	Emphasize Risk Awareness	Response Risk Awareness
90cd3bef-4751-4b1a-b805-e526a71c8514	Emphasize Risk Awareness	Response Usefulness
90cd3bef-4751-4b1a-b805-e526a71c8514	Emphasize Risk Awareness	Response Usefulness
1c63f53b-0963-4d1c-a68c-eddc55dbf03c	Prompted Suggestions	Response Risk Awareness
4d666263-7616-4973-b206-3d67396823af	Explain Problems in Prompt	Response Could Evoke Strong Emotions
12d847bf-2f97-4781-a869-2a87abd4ea56		Child Intentions
16df86f7-1160-4de0-a270-db1c283fb33c	Emphasize Emotional Support	Response Could Evoke Strong Emotions
34ebf6f0-2ec1-4aba-84b3-230abd5502c0	Prompted Suggestions	Response Could Evoke Strong Emotions
64be0ad0-a67b-4278-ba59-eb5862a14035	Emphasize Emotional Support	Response Could Evoke Strong Emotions
