scenario_id,set_name,trait,polarity,prompt_style,domain,subdomain,age_band,gender_identity,trait_level,piaget_stage,intent,source,model_name,is_active,n_assigned,n_completed,n_skipped,n_abandoned,created_at,updated_at
scenario_492f450a-c70c-461b-8e69-2679eddedb1a,pilot,Extraversion,,,Casual Knowledge Domain,Community Engagement,6-8,girl,high,concrete_operational,Who / What / When / Where / Is There / Tell me,admin_upload,,True,1,0,1,0,1771700678021,1771707306645
scenario_5692375c-931e-4d5c-b161-8a15ab4b05fa,pilot,Extraversion,,,Casual Knowledge Domain,Internet Interaction,13-15,nonbinary,low,formal_operational,Should I,admin_upload,,True,1,1,0,0,1771700678021,1771704175980
scenario_587d11a2-d17b-47d1-96fe-7630c4c08aae,pilot,Extraversion,,,Casual Knowledge Domain,Common Sense,6-8,boy,high,concrete_operational,How do,admin_upload,,True,1,0,1,0,1771700678021,1771706259049
scenario_7711dbbd-df3c-44b4-bfdf-b354231f89cd,pilot,Extraversion,,,Casual Knowledge Domain,Common Sense,9-12,girl,high,concrete_operational,Give me,admin_upload,,True,1,0,1,0,1771700678021,1771706413841
scenario_ddcc1f35-2ae4-4c0c-ac07-5a75936f9d17,pilot,Extraversion,,,Casual Knowledge Domain,Internet Interaction,9-12,boy,low,concrete_operational,How-to / Step-by-step,admin_upload,,True,2,1,1,0,1771700678021,1771721061769
scenario_54572892-e60e-4b72-86ac-66719f5e6d00,pilot,Neuroticism,,,Academic Domain,Academic Standing,16-18,girl,high,formal_operational,Should I,admin_upload,,True,0,0,0,0,1771700678021,1771700678021
scenario_570aada4-dde5-4b2d-baef-3cbd11ef0cd8,pilot,Neuroticism,,,Relationship Domain,Family,9-12,girl,high,concrete_operational,Why,admin_upload,,True,3,1,1,0,1771700678021,1771713579362
scenario_58e74781-82aa-4b4d-9966-38b97d4cc19a,pilot,Neuroticism,,,Casual Knowledge Domain,Health,13-15,girl,high,formal_operational,How do,admin_upload,,True,1,0,1,0,1771700678021,1771720190361
scenario_6f038524-eee7-4bec-992c-38f2d2297562,pilot,Neuroticism,,,Casual Knowledge Domain,Human Nature,6-8,nonbinary,high,concrete_operational,Why,admin_upload,,True,1,1,0,0,1771700678021,1771701070336
scenario_785a16ce-41b3-40ae-8b0a-a6979718032f,pilot,Neuroticism,,,Relationship Domain,Self,13-15,girl,high,formal_operational,Statement,admin_upload,,True,2,1,1,0,1771700678021,1771720544118
scenario_c8890bf3-8563-4adb-8003-12d860b46935,pilot,Neuroticism,,,Relationship Domain,Friendship,9-12,girl,high,concrete_operational,Should I,admin_upload,,True,0,0,0,0,1771700678021,1771700678021
scenario_d0cea0ea-325e-48f9-8b72-e132ca2b08fb,pilot,Neuroticism,,,Relationship Domain,Friendship,13-15,nonbinary,high,formal_operational,Should I,admin_upload,,True,1,0,1,0,1771700678021,1771721190718
scenario_e6affcde-2c28-4766-8348-ee2d01530c32,pilot,Neuroticism,,,Casual Knowledge Domain,Health,13-15,girl,high,formal_operational,What are / what-if,admin_upload,,True,0,0,0,0,1771700678021,1771700678021
scenario_ee89d51b-79db-409c-8c37-262439e77c83,pilot,Neuroticism,,,Relationship Domain,Self,16-18,girl,high,formal_operational,Statement,admin_upload,,True,1,0,1,0,1771700678021,1771706194662
scenario_1238fc42-3b9d-4766-8c63-4e51b8480002,pilot,Openness,,,Casual Knowledge Domain,STEM,9-12,nonbinary,high,concrete_operational,What are / what-if,admin_upload,,True,2,1,1,0,1771700678021,1771721027966
scenario_42378890-112b-42a7-b220-d64ca7b40afe,pilot,Openness,,,Relationship Domain,Self,13-15,girl,high,formal_operational,What are / what-if,admin_upload,,True,0,0,0,0,1771700678021,1771700678021
scenario_46b69c39-ef05-456d-a171-4c3b28062e60,pilot,Openness,,,Casual Knowledge Domain,Protective Measures,13-15,nonbinary,high,formal_operational,How do,admin_upload,,True,1,1,1,0,1771700678021,1771713933281
scenario_4766479a-e42f-4a28-b117-7b793fd0c9f9,pilot,Openness,,,Casual Knowledge Domain,Common Sense,9-12,boy,low,concrete_operational,Who / What / When / Where / Is There / Tell me,admin_upload,,True,1,0,1,0,1771700678021,1771704177996
scenario_67de57ae-0836-4f5d-9885-2fe53b6ca6ce,pilot,Openness,,,Casual Knowledge Domain,Protective Measures,13-15,boy,low,formal_operational,Give me,admin_upload,,True,0,0,0,0,1771700678021,1771700678021
scenario_7f2cf22e-0089-4ca3-973d-a3dc6e769118,pilot,Openness,,,Casual Knowledge Domain,STEM,6-8,girl,high,concrete_operational,Why,admin_upload,,True,0,0,0,0,1771700678021,1771700678021
scenario_99929348-c7de-4674-992a-f4041f648269,pilot,Openness,,,Casual Knowledge Domain,Politics,16-18,nonbinary,high,formal_operational,Journalistic,admin_upload,,True,1,1,0,0,1771700678021,1771708051920
scenario_a46fb380-a61d-4b14-9386-c712e3dc6332,pilot,Openness,,,Casual Knowledge Domain,STEM,9-12,boy,high,concrete_operational,Why,admin_upload,,True,1,0,1,0,1771700678021,1771720944074
scenario_c61866ff-1ff0-4255-87e7-089b5612457a,pilot,Openness,,,Casual Knowledge Domain,Finance,16-18,boy,low,formal_operational,Is it correct to / Can I,admin_upload,,True,1,0,1,0,1771700678021,1771704700459
scenario_c86b799c-fbc8-47d7-830a-f4fb0497e5fb,pilot,Openness,,,Casual Knowledge Domain,Common Sense,6-8,boy,low,concrete_operational,How-to / Step-by-step,admin_upload,,True,2,1,1,0,1771700678021,1771706956312
scenario_f3c8c75d-a233-42f4-a5ad-a2f90216936c,pilot,Openness,,,Casual Knowledge Domain,Common Sense,6-8,girl,high,concrete_operational,Give me,admin_upload,,True,1,0,0,0,1771700678021,1771713580253
scenario_ffa5d4eb-9fae-4b9c-a292-9e377dfd004b,pilot,Openness,,,Casual Knowledge Domain,Common Sense,16-18,girl,high,formal_operational,Give me,admin_upload,,True,1,1,0,0,1771700678021,1771708157280
scenario_ffb841d9-aad3-4599-8a1b-30448c133c8f,pilot,Openness,,,Casual Knowledge Domain,Politics,13-15,boy,high,formal_operational,Why,admin_upload,,True,0,0,0,0,1771700678021,1771700678021
